id,title,link,created_at,updated_at
42,Program KEMENAKER Terkait Mitigasi Pandemi COVID-19,https://www.instagram.com/p/CC5iX5vnIc6/,2020-07-21 12:42:28,2020-07-21 12:42:28
43,Tips Agar Keluarga Mampu Bertahan Hidup Hadapi COVID-19,https://www.instagram.com/p/CC5y-sTHhxs/,2020-07-21 12:48:15,2020-07-21 12:48:15
44,Perubahan Istilah Dalam Penanganan COVID-19,https://www.instagram.com/p/CC0Vya0H7ac/,2020-07-21 13:06:01,2020-07-21 13:06:01
45,Langkah-Langkah Percepatan Penyaluran BANSOS Tunai,https://www.instagram.com/p/CC7rbX7nw9F/,2020-07-22 08:56:02,2020-07-22 08:56:02
46,Pakai Masker? Jangan Turun ke Dagu!!,https://www.instagram.com/p/CC7_E7fnzGG/,2020-07-22 08:56:59,2020-07-22 08:56:59
47,Skema Kementan Dalam Menghadapi Krisis Pangan,https://www.instagram.com/p/CC_BsATH0ZJ/,2020-07-24 11:01:51,2020-07-24 11:01:51
48,Thermal Gun Tidak Merusak Otak,https://www.instagram.com/p/CC_Byq_nm6l/,2020-07-24 11:02:19,2020-07-24 11:02:19
49,"Transmisi droplet & aerosol, apa bedanya?",https://www.instagram.com/p/CDGo0HFnTX7/,2020-07-27 03:29:31,2020-07-27 03:29:31
50,Ini cara bikin face shield sendiri di rumah,https://www.instagram.com/p/CDGobGSHKEN/,2020-07-27 03:29:31,2020-07-27 03:29:31
51,Panduan Sholat Idul Adha 2020,https://www.instagram.com/p/CDOI3xrHuZF/,2020-07-30 03:51:02,2020-07-30 03:51:02
52,Tata Cara Penyembelihan Hewan Qurban Sesuai Protokol Kesehatan,https://www.instagram.com/p/CDRHm4nnHW9/,2020-07-30 22:13:08,2020-07-30 22:13:08
53,Adaptasi Kebiasaan Baru,https://www.instagram.com/p/CDgVE_CHl41/,2020-08-08 04:17:52,2020-08-08 04:17:52
54,Apa yang Harus Dipertimbangkan Sebelum Memutuskan Keluar Rumah?,https://www.instagram.com/p/CDgfv7Qn-cE/,2020-08-08 04:19:33,2020-08-08 04:19:33
55,Kapan Harus Karantina Mandiri?,https://www.instagram.com/p/CDi5LZxH1Zq/,2020-08-08 04:20:13,2020-08-08 04:20:13
56,3 Tipe Bermain untuk Anak-Anak,https://www.instagram.com/p/CDi6JXcHLwo/,2020-08-08 04:21:38,2020-08-08 04:21:38
57,Kekerasan Domestik : Apa yang Dapat Dilakukan Oleh Tenaga Kesehatan?,https://www.instagram.com/p/CDlfB4Mn3U7/,2020-08-08 04:23:39,2020-08-08 04:23:39
58,Kunci Perubahan Perilaku Masyarakat,https://www.instagram.com/p/CDqeoI_nC21/,2020-08-09 11:36:25,2020-08-09 11:36:25
59,Kapan Harus Pakai Masker?,https://www.instagram.com/p/CDqet-3HwiO/,2020-08-09 11:36:25,2020-08-09 11:36:25
60,Terbang di masa pandemi,https://www.instagram.com/p/CDtUwmHnfrh/,2020-08-11 08:57:24,2020-08-11 08:57:24
61,Bisnis & UMKM Harus mulai Online,https://www.instagram.com/p/CDvt3ijnyTV/,2020-08-12 10:27:12,2020-08-12 10:27:12
62,"4 Kiat ""Main Cantik"" Hadapi Keluarga Sebar Hoaks",https://www.instagram.com/p/CDyPRjmH8v4/,2020-08-12 10:28:15,2020-08-12 10:28:15
63,Tetap Aktif di Rumah Selama Pandemi,https://www.instagram.com/p/CDv0oVCHzpG/,2020-08-12 10:28:54,2020-08-12 10:28:54
64,Menuju Zona Aman COVID-19? Ikuti 3 Langkah Ini,https://www.instagram.com/p/CD2cTL-Aj1_/,2020-08-16 17:43:05,2020-08-16 17:43:05
65,5 Tips Mengisi Akhir Pekan di Era New Normal,https://www.instagram.com/p/CD2cgUog3bB/,2020-08-16 17:44:04,2020-08-16 17:44:04
66,Hoax & Disinformasi Berbahaya di Belahan Dunia,https://www.instagram.com/p/CD6AtIZHt_l/,2020-08-16 17:52:45,2020-08-16 17:52:45
67,"New Normal, Bukan Berarti Sudah Normal Ya",https://www.instagram.com/p/CD3e8ZVAihQ/,2020-08-16 17:45:58,2020-08-16 17:45:58
