day,positive_male,positive_female,pdp_male,pdp_female,positive_male_0_14,positive_male_15_19,positive_male_20_24,positive_male_25_49,positive_male_50_54,positive_male_55,positive_female_0_14,positive_female_15_19,positive_female_20_24,positive_female_25_49,positive_female_50_54,positive_female_55,pdp_male_0_14,pdp_male_15_19,pdp_male_20_24,pdp_male_25_49,pdp_male_50_54,pdp_male_55,pdp_female_0_14,pdp_female_15_19,pdp_female_20_24,pdp_female_25_49,pdp_female_50_54,pdp_female_55
225,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
226,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
227,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
228,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
229,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
230,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
231,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
232,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
233,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
234,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
235,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
236,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
237,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
238,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
239,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
240,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
241,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
242,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
243,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
244,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
245,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
246,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
247,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
248,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
249,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
250,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
251,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
252,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
253,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
254,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
255,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
256,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
257,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
258,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
259,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
260,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
261,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
262,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
263,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
264,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
265,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
266,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
267,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
268,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
269,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
270,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
271,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
272,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
273,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
274,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
275,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
276,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
277,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
278,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
279,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
280,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
281,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
282,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
283,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
284,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
285,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
286,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
287,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
288,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
289,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
290,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
291,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
292,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
293,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
294,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
295,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
296,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
297,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
298,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
299,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
300,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
301,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
302,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
303,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
304,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
305,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
306,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
307,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
308,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
309,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
310,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
311,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
312,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
313,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
314,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
315,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
316,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
317,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
318,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
319,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
320,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
321,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
322,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
323,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
324,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
325,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
326,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
327,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
328,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
329,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
330,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
331,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
332,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
333,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
334,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
335,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
336,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
337,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
338,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
339,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
340,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
341,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
342,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
343,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
344,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
345,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
346,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
347,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
348,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
349,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
350,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
351,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
352,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
353,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
354,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
355,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
356,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
357,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
358,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
359,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
360,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
361,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
362,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
363,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
364,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
365,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
366,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
367,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
368,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
369,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
370,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
371,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
372,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
373,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
374,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
375,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
376,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
377,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
378,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
379,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
380,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
381,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
382,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
383,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
384,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
385,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
386,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
387,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
388,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
389,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
390,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
391,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
392,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
393,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
394,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
395,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
396,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
397,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
398,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
399,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
400,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
401,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
402,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
403,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
404,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
405,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
406,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
407,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
408,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
409,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
410,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
411,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
412,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
413,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
414,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
415,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
416,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
417,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
418,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
419,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
420,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
421,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
422,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
423,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
424,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
425,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
426,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
427,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
428,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
429,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
430,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
431,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
432,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
433,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
434,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
435,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
436,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
437,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
438,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
439,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
440,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
441,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
442,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
443,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
444,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
445,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
446,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
447,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
448,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
449,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
450,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
451,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
452,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
453,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
454,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
455,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
456,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
457,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
458,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
459,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
460,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
461,920,900,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
