day,positive_male,positive_female,pdp_male,pdp_female,positive_male_0_14,positive_male_15_19,positive_male_20_24,positive_male_25_49,positive_male_50_54,positive_male_55,positive_female_0_14,positive_female_15_19,positive_female_20_24,positive_female_25_49,positive_female_50_54,positive_female_55,pdp_male_0_14,pdp_male_15_19,pdp_male_20_24,pdp_male_25_49,pdp_male_50_54,pdp_male_55,pdp_female_0_14,pdp_female_15_19,pdp_female_20_24,pdp_female_25_49,pdp_female_50_54,pdp_female_55
51,60,23,84,62,2,4,15,22,12,5,1,4,7,4,5,2,9,8,2,44,6,15,7,6,2,32,4,11
52,71,24,84,62,2,4,19,27,15,5,1,4,7,5,5,2,9,8,2,44,6,15,7,6,2,32,4,11
53,76,25,84,63,2,4,20,28,17,6,1,4,8,5,5,2,9,8,2,44,6,15,7,6,2,33,4,11
54,84,27,86,65,2,4,20,33,19,7,1,4,9,5,6,2,9,8,2,46,6,15,7,6,2,34,4,12
55,85,27,88,67,2,5,20,33,19,7,1,4,9,5,6,2,9,8,2,47,6,16,7,6,2,36,4,12
56,86,27,92,69,2,5,20,33,20,7,1,4,9,5,6,2,10,8,2,49,6,17,7,6,2,37,5,12
57,88,27,92,70,2,5,20,34,20,7,1,4,9,5,6,2,10,8,2,49,6,17,7,6,2,37,5,13
58,88,27,92,70,2,5,20,34,20,7,1,4,9,5,6,2,10,8,2,49,6,17,7,6,2,37,5,13
59,88,27,93,70,2,5,20,34,20,7,1,4,9,5,6,2,10,8,2,50,6,17,7,6,2,37,5,13
60,88,27,95,71,2,5,20,34,20,7,1,4,9,5,6,2,10,9,2,51,6,17,8,6,2,37,5,13
61,88,29,96,72,2,5,20,34,20,7,1,4,9,5,8,2,10,9,2,52,6,17,8,6,2,38,5,13
62,88,29,97,73,2,5,20,34,20,7,1,4,9,5,8,2,10,9,2,52,6,18,8,6,2,39,5,13
63,90,30,97,74,2,5,20,34,21,8,1,4,9,5,8,3,10,9,2,52,6,18,8,7,2,39,5,13
64,90,30,97,74,2,5,20,34,21,8,1,4,9,5,8,3,10,9,2,52,6,18,8,7,2,39,5,13
65,90,30,97,74,2,5,20,34,21,8,1,4,9,5,8,3,10,9,2,52,6,18,8,7,2,39,5,13
66,90,30,99,74,2,5,20,34,21,8,1,4,9,5,8,3,11,9,2,53,6,18,8,7,2,39,5,13
67,90,30,103,75,2,5,20,34,21,8,1,4,9,5,8,3,11,9,3,55,7,18,8,7,2,39,6,13
68,93,33,104,75,2,6,22,34,21,8,1,4,11,6,8,3,11,10,3,55,7,18,8,7,2,39,6,13
69,93,33,104,76,2,6,22,34,21,8,1,4,11,6,8,3,11,10,3,55,7,18,8,7,2,40,6,13
70,93,33,107,77,2,6,22,34,21,8,1,4,11,6,8,3,11,10,3,56,8,19,8,7,2,40,6,14
71,93,35,108,77,2,6,22,34,21,8,1,5,11,6,9,3,11,10,3,56,8,20,8,7,2,40,6,14
72,93,35,108,77,2,6,22,34,21,8,1,5,11,6,9,3,11,10,3,56,8,20,8,7,2,40,6,14
73,93,35,109,77,2,6,22,34,21,8,1,5,11,6,9,3,11,10,3,57,8,20,8,7,2,40,6,14
74,94,35,112,77,2,7,22,34,21,8,1,5,11,6,9,3,12,11,3,58,8,20,8,7,2,40,6,14
75,94,35,112,77,2,7,22,34,21,8,1,5,11,6,9,3,12,11,3,58,8,20,8,7,2,40,6,14
76,101,35,113,77,2,7,22,38,24,8,1,5,11,6,9,3,12,11,3,59,8,20,8,7,2,40,6,14
77,101,38,118,77,2,7,22,38,24,8,1,5,11,8,10,3,12,11,3,63,9,20,8,7,2,40,6,14
78,116,43,118,78,2,8,26,41,31,8,1,8,13,8,10,3,12,11,3,63,9,20,8,8,2,40,6,14
79,116,43,118,79,2,8,26,41,31,8,1,8,13,8,10,3,12,11,3,63,9,20,8,8,2,41,6,14
80,116,43,119,80,2,8,26,41,31,8,1,8,13,8,10,3,12,12,3,63,9,20,8,8,2,42,6,14
81,116,43,120,80,2,8,26,41,31,8,1,8,13,8,10,3,13,12,3,63,9,20,8,8,2,42,6,14
82,116,43,125,82,2,8,26,41,31,8,1,8,13,8,10,3,13,12,5,64,9,22,8,8,3,43,6,14
83,116,43,125,83,2,8,26,41,31,8,1,8,13,8,10,3,13,12,5,64,9,22,9,8,3,43,6,14
84,119,49,126,84,2,8,26,41,34,8,1,8,15,10,12,3,13,12,5,65,9,22,9,8,3,43,6,15
85,121,49,128,84,2,8,26,43,34,8,1,8,15,10,12,3,15,12,5,65,9,22,9,8,3,43,6,15
86,122,49,131,84,2,8,26,43,35,8,1,8,15,10,12,3,15,12,5,67,9,22,9,8,3,43,6,15
87,123,49,131,84,2,8,26,43,36,8,1,8,15,10,12,3,15,12,5,68,9,22,9,8,3,43,6,15
88,123,49,136,84,2,8,26,43,36,8,1,8,15,10,12,3,16,12,5,71,9,23,9,8,3,43,6,15
89,123,49,138,84,2,8,26,43,36,8,1,8,15,10,12,3,16,13,5,72,9,23,9,8,3,43,6,15
90,124,49,140,86,2,8,26,44,36,8,1,8,15,10,12,3,16,13,7,72,9,23,9,8,5,43,6,15
91,124,49,140,86,2,8,26,44,36,8,1,8,15,10,12,3,16,13,7,72,9,23,9,8,5,43,6,15
92,124,49,141,87,2,8,26,44,36,8,1,8,15,10,12,3,16,13,7,73,9,23,9,8,5,44,6,15
93,125,51,142,87,2,8,26,44,36,9,1,8,16,10,12,3,16,13,7,74,9,23,9,8,5,44,6,15
94,127,52,143,88,2,8,26,46,36,9,1,8,17,10,12,3,16,13,7,75,9,23,9,8,5,45,6,15
95,128,52,146,90,2,8,26,46,37,9,1,8,17,10,12,3,16,13,7,75,12,23,9,8,5,45,8,15
96,129,52,148,90,2,8,26,46,37,10,1,8,17,10,12,3,16,13,7,77,12,23,9,8,5,45,8,15
97,129,54,150,92,2,8,26,46,37,10,1,8,18,10,14,3,16,13,9,77,12,23,9,8,7,45,8,15
98,129,55,151,92,2,8,26,46,37,10,1,8,19,10,14,3,16,13,10,77,12,23,9,8,7,45,8,15
99,130,56,154,94,2,8,26,47,37,10,1,8,20,10,14,3,16,13,13,77,12,23,9,8,9,45,8,15
100,130,56,157,95,2,8,26,47,37,10,1,8,20,10,14,3,16,13,14,79,12,23,9,8,9,46,8,15
101,130,56,158,95,2,8,26,47,37,10,1,8,20,10,14,3,16,13,15,79,12,23,9,8,9,46,8,15
102,130,56,160,96,2,8,26,47,37,10,1,8,20,10,14,3,16,13,16,80,12,23,9,8,9,47,8,15
103,130,56,161,96,2,8,26,47,37,10,1,8,20,10,14,3,16,13,16,81,12,23,9,8,9,47,8,15
104,130,56,161,96,2,8,26,47,37,10,1,8,20,10,14,3,16,13,16,81,12,23,9,8,9,47,8,15
105,133,58,164,101,2,8,29,47,37,10,1,8,22,10,14,3,16,13,16,84,12,23,9,8,9,52,8,15
106,133,58,164,102,2,8,29,47,37,10,1,8,22,10,14,3,16,13,16,84,12,23,9,8,10,52,8,15
107,133,58,167,103,2,8,29,47,37,10,1,8,22,10,14,3,16,13,17,86,12,23,9,8,10,52,9,15
108,133,58,168,103,2,8,29,47,37,10,1,8,22,10,14,3,16,13,17,87,12,23,9,8,10,52,9,15
109,133,60,172,106,2,8,29,47,37,10,1,8,23,11,14,3,16,13,19,88,13,23,9,8,11,53,10,15
110,133,60,174,107,2,8,29,47,37,10,1,8,23,11,14,3,16,13,21,88,13,23,9,8,12,53,10,15
111,133,60,175,108,2,8,29,47,37,10,1,8,23,11,14,3,16,13,22,88,13,23,9,8,13,53,10,15
112,133,60,177,108,2,8,29,47,37,10,1,8,23,11,14,3,16,13,22,90,13,23,9,8,13,53,10,15
113,133,60,177,109,2,8,29,47,37,10,1,8,23,11,14,3,16,13,22,90,13,23,9,8,13,54,10,15
114,133,60,177,110,2,8,29,47,37,10,1,8,23,11,14,3,16,13,22,90,13,23,9,8,14,54,10,15
115,134,60,177,110,2,8,30,47,37,10,1,8,23,11,14,3,16,13,22,90,13,23,9,8,14,54,10,15
116,135,60,178,112,2,8,30,48,37,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
117,135,60,178,112,2,8,30,48,37,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
118,135,60,178,112,2,8,30,48,37,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
119,135,60,178,112,2,8,30,48,37,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
120,136,60,178,112,2,8,30,48,38,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
121,136,60,178,112,2,8,30,48,38,10,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
122,136,60,178,112,2,8,30,48,38,20,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
123,136,60,178,112,2,8,30,48,38,20,1,8,23,11,14,3,16,13,22,91,13,23,9,9,14,55,10,15
124,137,63,178,112,2,8,30,49,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
125,138,63,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
126,138,63,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
127,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
128,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
129,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
130,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
131,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
132,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
133,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
134,138,64,178,112,2,8,30,50,38,20,1,8,25,12,15,3,16,13,22,91,13,23,9,9,14,55,10,15
135,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
136,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
137,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
138,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
139,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
140,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
141,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
142,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
143,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
144,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
145,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
146,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
147,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
148,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
149,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
150,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
151,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
152,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
153,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
154,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
155,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
156,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
157,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
158,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
159,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
160,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
161,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
162,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
163,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
164,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
165,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
166,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
167,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
168,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
169,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
170,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
171,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
172,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
173,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
174,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
175,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
176,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
177,138,64,178,112,2,8,30,50,38,20,1,8,25,12,14,3,16,13,22,91,13,23,9,9,14,55,10,15
