id,no,id_infographic,link,created_at,updated_at
59,1,59,https://i.ibb.co/fvbgRXQ/image.png,2020-08-09 11:46:02,2020-08-09 11:46:02
60,1,60,https://i.ibb.co/3MyrN05/image.png,2020-08-11 08:59:12,2020-08-11 08:59:12
61,1,61,https://i.ibb.co/RCFgSh6/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
62,1,62,https://i.ibb.co/YL9qNMQ/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
63,1,63,https://i.ibb.co/WsRJVtG/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
64,1,64,https://i.ibb.co/qkCMhB9/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
65,1,65,https://i.ibb.co/yy02BJ8/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
66,1,66,https://i.ibb.co/HdDkkSN/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
67,1,67,https://i.ibb.co/dMHhZS4/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
68,1,68,https://i.ibb.co/7kjQbgw/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
69,1,69,https://i.ibb.co/5FK9zDY/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
70,1,70,https://i.ibb.co/JmChhBK/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
71,1,71,https://i.ibb.co/Rb24RDK/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
72,1,72,https://i.ibb.co/Gs6dqGD/image.png,2020-08-24 06:34:16,2020-08-24 06:34:16
73,1,73,https://i.ibb.co/4NDK1d6/image.png,2020-08-24 06:35:11,2020-08-24 06:35:11
74,1,74,https://i.ibb.co/Hp9C2BX/image.png,2020-08-24 06:37:31,2020-08-24 06:37:31
75,1,75,https://i.ibb.co/9HfMxSj/image.png,2020-08-24 06:37:31,2020-08-24 06:37:31
76,1,76,https://i.ibb.co/KjNGpBX/image.png,2020-08-24 06:46:07,2020-08-24 06:46:07
77,1,77,https://i.ibb.co/k2qszQ9/image.png,2020-08-24 07:03:05,2020-08-24 07:03:05
78,1,78,https://i.ibb.co/z6n635q/image.png,2020-08-24 07:03:05,2020-08-24 07:03:05
79,1,79,https://i.ibb.co/4djfGkC/image.png,2020-08-28 10:25:53,2020-08-28 10:25:53
